usuario,data_hora,mensagem,recorrencia,canal
915013146937262122,03/07/2024 22:30,Faltam 30 minutos para Evento de Kinah em Gelk/Ing.,1d,1256008932082712767
915013146937262122,04/07/2024 13:55,Faltam 5 minutos para Abrir CHANTRA DREDGION. Iniciando as 14 horas e fechando as 16 horas.,1d,1256008932082712767
915013146937262122,03/07/2024 20:55,Faltam 5 minutos para Abrir CHANTRA DREDGION. Iniciando as 21 horas e fechando as 23 horas.,1d,1256008932082712767
915013146937262122,06/07/2024 23:30,Faltam 30 minutos para iniciar Diad Commando em Rafslam.,1s,1256008932082712767
915013146937262122,08/07/2024 00:40,Faltam 20 minutos para iniciar Subterra Lord Raid em Raslam.,1s,1256008932082712767
915013146937262122,04/07/2024 23:40,Faltam 20 minutos para iniciar a Siege de Apheta Beluslan.,1s,1256008932082712767
915013146937262122,06/07/2024 23:40,Faltam 20 minutos para iniciar a Siege de Apheta Beluslan.,1s,1256008932082712767
915013146937262122,09/07/2024 23:40,Faltam 20 minutos para iniciar a Siege de Temple of Scales e Crimson Temple.,1s,1256008932082712767
915013146937262122,07/07/2024 20:40,Faltam 20 minutos para iniciar Siege de Ingg e gelk 4 fortress.,1s,1256008932082712767
915013146937262122,03/07/2024 22:55,Faltam 5 minutos para iniciar Dark Vevium Battlefield.,1d,1256008932082712767
915013146937262122,27/07/2024 00:40,Faltam 20 minutos para iniciar Arch Diad Raid ( Boss de 1 vez ao mês ).,1s,1256008932082712767
915013146937262122,04/07/2024 23:40,Faltam 20 minutos para iniciar as Sieges de Altar of Avarice e Vorgaltem Citadel.,1s,1256008932082712767
915013146937262122,03/07/2024 21:40,SHUGO DE KINAH EM RASFLAM em 20 MINUTOS!,1d,1256008932082712767
